id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
18772399,15aad041-5d74-4d11-96ba-b5549f7df6c3,2018/11/29 5:14 PM CST,2018-11-29,2018-11-29 23:14:00 UTC,Central Time (US & Canada),144442,andriy,"",2018-12-02 07:41:04 UTC,2020-02-16 02:07:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/18772399,https://inaturalist-open-data.s3.amazonaws.com/photos/28749716/medium.jpeg,,"",,3,0,false,,Mallard,Anas platyrhynchos,Кряква,Aves,6930
19249075,077b8b41-b8a9-4ee8-861c-35ba1017b75b,2000/03/17,2000-03-17,,Berlin,464262,jeremybarker,Jeremy Barker,2018-12-27 14:12:54 UTC,2024-11-21 09:11:23 UTC,research,CC0,https://www.inaturalist.org/observations/19249075,https://inaturalist-open-data.s3.amazonaws.com/photos/29575336/medium.jpg,,"",First Devon record,11,0,false,,American Black Duck,Anas rubripes,Американская чёрная кряква,Aves,6924
19844967,f85d695a-3298-4621-afa6-058cb96caae6,2018/12/30 9:47 AM CET,2018-12-30,2018-12-30 08:47:00 UTC,Paris,894789,bruno31820,"",2019-01-24 18:23:06 UTC,2019-05-06 10:46:55 UTC,research,,https://www.inaturalist.org/observations/19844967,https://static.inaturalist.org/photos/30595235/medium.jpg,,"",,6,0,false,,Canard colvert,Anas platyrhynchos,Кряква,Aves,6930
20327442,f8894aa5-a2aa-465d-b8db-6028b453401a,2019-02-13 10:40:00 AM GMT+01:00,2019-02-13,2019-02-13 09:40:00 UTC,Amsterdam,1073255,crapfou,Crap Fou,2019-02-13 21:07:33 UTC,2024-06-25 23:16:14 UTC,research,,https://www.inaturalist.org/observations/20327442,https://static.inaturalist.org/photos/31388581/medium.jpeg,,"",,3,0,false,,Canard colvert,Anas platyrhynchos,Кряква,Aves,6930
20393122,3694c991-4022-4c4e-b17d-77633c396b7e,2019-02-13 10:26:26 am GMT+00:00,2019-02-13,2019-02-13 10:26:26 UTC,Edinburgh,1470491,sheriff_kelly,"",2019-02-16 19:30:04 UTC,2019-02-18 15:46:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/20393122,https://inaturalist-open-data.s3.amazonaws.com/photos/31491898/medium.jpeg,,"",,3,0,false,2,Mallard,Anas platyrhynchos,Кряква,Aves,6930
22745856,47cd0155-37d1-4ddc-9ead-f37ecd256178,2019/02/05 10:47 AM HST,2019-02-05,2019-02-05 20:47:00 UTC,Hawaii,1638442,awdslr,"",2019-04-20 08:33:09 UTC,2019-04-24 08:02:34 UTC,research,,https://www.inaturalist.org/observations/22745856,https://static.inaturalist.org/photos/35250805/medium.jpeg,,"AWDSLR, bird, wildlife, mallard, Kent UK",,2,0,false,,Germano reale,Anas platyrhynchos,Кряква,Aves,6930
22745857,7ce08cab-9ef3-4094-afaf-ac8121933121,2019/02/05 10:47 AM HST,2019-02-05,2019-02-05 20:47:00 UTC,Hawaii,1638442,awdslr,"",2019-04-20 08:33:10 UTC,2019-04-24 08:02:40 UTC,research,,https://www.inaturalist.org/observations/22745857,https://static.inaturalist.org/photos/35250830/medium.jpeg,,"Wildlife, UK, bird, Kent UK, AWDSLR",,2,0,false,,Germano reale,Anas platyrhynchos,Кряква,Aves,6930
23564578,bedd4e86-2c5c-4081-9fa1-354d4893f113,2019/04/27 10:40 AM CEST,2019-04-27,2019-04-27 08:40:00 UTC,Paris,1640704,petrvo,Petr Vo,2019-04-28 04:17:32 UTC,2021-09-23 11:32:46 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23564578,https://inaturalist-open-data.s3.amazonaws.com/photos/36488146/medium.jpg,,"",,5,0,false,,Canard colvert,Anas platyrhynchos,Кряква,Aves,6930
23854677,d2c0863f-9524-4d35-abc0-3c39f010e285,Fri Apr 26 2019 13:41:19 GMT+0200 (GMT+2),2019-04-26,2019-04-26 11:41:19 UTC,Pretoria,1656343,heile744,,2019-04-29 05:22:59 UTC,2022-11-06 20:49:52 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23854677,https://inaturalist-open-data.s3.amazonaws.com/photos/36912572/medium.jpg,,"",,5,0,false,3,Mallard,Anas platyrhynchos,Кряква,Aves,6930
24295124,a147edd2-9f64-4952-8b5d-6938f4c8c09d,2019/04/30 7:24 PM UTC,2019-04-30,,UTC,922357,lioneska,Lioneska,2019-05-01 17:12:13 UTC,2019-07-23 12:58:31 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/24295124,https://inaturalist-open-data.s3.amazonaws.com/photos/37569446/medium.jpg,,"",,4,0,false,,Mallard,Anas platyrhynchos,Кряква,Aves,6930
